Day,Kidal,Gao,Timbuktu,Mopti,Douentza,Konna,Menaka,Niafounke,Bourem,Bamako,Tenenkou,Segou,Ansongo,Lere,Dire,Goundam,Fassala-Mbera,Mentao,Bobo-Dioulasso,Abala,Mangaize,Niamey,Tabareybarey
279,88,305,195,4840,352,7164,4,78,209,404,866,3740,0,283,0,8254,74719,6908,1925,11383,3438,1848,6203
280,117,286,201,4833,361,7130,3,81,218,404,833,3801,0,370,0,8218,74781,6902,1922,11381,3435,1854,6205
281,124,301,188,4828,338,7013,1,84,191,424,803,3763,0,349,0,8176,74844,6897,1929,11369,3434,1857,6198
282,124,327,191,4863,320,7054,2,90,200,474,881,3825,0,303,0,8119,74919,6900,1946,11377,3435,1867,6191
283,94,329,186,4773,305,7061,3,73,225,427,857,3883,0,299,0,8095,74954,6902,1950,11379,3435,1869,6196
284,102,310,209,4820,330,7037,1,89,212,435,795,3963,0,339,0,8104,74991,6904,1950,11384,3435,1874,6211
285,105,287,209,4802,336,7027,4,80,202,417,847,3933,0,319,0,8106,75028,6905,1946,11380,3432,1876,6202
286,106,314,178,4778,338,7054,2,80,187,418,859,3905,0,312,0,8102,75066,6899,1944,11368,3436,1887,6199
287,85,295,211,4844,291,6921,0,76,182,480,859,3854,0,312,0,8106,75103,6894,1941,11375,3437,1895,6196
288,93,320,214,4806,290,6903,1,101,180,448,863,3838,0,336,0,8122,75113,6890,1937,11364,3435,1902,6201
289,84,297,199,4862,356,6820,2,92,175,435,887,3878,0,337,0,8094,75170,6888,1935,11376,3433,1911,6203
290,94,295,212,4857,331,6949,2,91,213,412,900,3886,0,339,0,8061,75197,6893,1935,11387,3431,1915,6196
291,91,301,189,4907,321,6819,2,93,182,407,909,3923,0,348,0,8083,75228,6907,1933,11390,3438,1922,6190
292,113,311,165,4860,319,6846,2,84,189,427,819,3919,0,350,0,8122,75239,6914,1930,11374,3432,1926,6204
293,100,292,193,4846,313,6877,2,84,169,418,905,3947,0,349,0,8111,75266,6915,1929,11379,3433,1937,6210
294,88,291,191,4868,321,6865,3,63,201,455,908,3880,0,356,0,8163,75270,6912,1927,11372,3437,1949,6205
295,102,290,182,4831,293,6864,0,86,201,469,871,3849,0,360,0,8177,75306,6908,1926,11367,3438,1952,6200
296,108,287,187,4791,303,6923,4,83,195,412,916,3895,0,336,0,8149,75324,6895,1926,11374,3435,1965,6194
297,82,285,196,4781,299,6911,1,92,185,416,910,3946,0,324,0,8143,75324,6891,1926,11382,3431,1976,6194
298,86,285,188,4776,315,6863,5,94,185,403,881,3889,0,343,0,8120,75314,6899,1926,11377,3439,1980,6207
299,87,298,197,4806,325,6798,2,88,182,447,918,3872,0,362,0,8193,75311,6899,1923,11376,3441,1989,6207
